Start,End,Open,High,Low,Close,Volume,Market
9/24/2012,9/25/2012,12.1,12.1,12.1,12.1,0,0
9/23/2012,9/24/2012,12.1933,12.1933,12.1933,12.1933,0,0
9/22/2012,9/23/2012,12.2378,12.2378,12.2378,12.2378,0,0
9/21/2012,9/22/2012,12.368,12.368,12.368,12.368,0,0
9/20/2012,9/21/2012,12.2825,12.2825,12.2825,12.2825,0,0
9/19/2012,9/20/2012,12.5725,12.5725,12.5725,12.5725,0,0
9/18/2012,9/19/2012,12.25,12.25,12.25,12.25,0,0
9/17/2012,9/18/2012,11.89,11.89,11.89,11.89,0,0
9/16/2012,9/17/2012,11.87,11.87,11.87,11.87,0,0
9/15/2012,9/16/2012,11.75,11.75,11.75,11.75,0,0
9/14/2012,9/15/2012,11.67,11.67,11.67,11.67,0,0
9/13/2012,9/14/2012,11.399,11.399,11.399,11.399,0,0
9/12/2012,9/13/2012,11.3649,11.3649,11.3649,11.3649,0,0
9/11/2012,9/12/2012,11.3308,11.3308,11.3308,11.3308,0,0
9/10/2012,9/11/2012,11.17,11.17,11.17,11.17,0,0
9/9/2012,9/10/2012,11.02,11.02,11.02,11.02,0,0
9/8/2012,9/9/2012,11.037,11.037,11.037,11.037,0,0
9/7/2012,9/8/2012,11,11,11,11,0,0
9/6/2012,9/7/2012,11.181,11.181,11.181,11.181,0,0
9/5/2012,9/6/2012,10.9997,10.9997,10.9997,10.9997,0,0
9/4/2012,9/5/2012,10.3847,10.3847,10.3847,10.3847,0,0
9/3/2012,9/4/2012,10.53,10.53,10.53,10.53,0,0
9/2/2012,9/3/2012,10.2041,10.2041,10.2041,10.2041,0,0
9/1/2012,9/2/2012,9.9654,9.9654,9.9654,9.9654,0,0
8/31/2012,9/1/2012,10.16,10.16,10.16,10.16,0,0
8/30/2012,8/31/2012,10.777,10.777,10.777,10.777,0,0
8/29/2012,8/30/2012,10.9169,10.9169,10.9169,10.9169,0,0
8/28/2012,8/29/2012,10.94,10.94,10.94,10.94,0,0
8/27/2012,8/28/2012,10.95,10.95,10.95,10.95,0,0
8/26/2012,8/27/2012,10.61,10.61,10.61,10.61,0,0
8/25/2012,8/26/2012,10.5239,10.5239,10.5239,10.5239,0,0
8/24/2012,8/25/2012,10.6,10.6,10.6,10.6,0,0
8/23/2012,8/24/2012,10.1,10.1,10.1,10.1,0,0
8/22/2012,8/23/2012,9.8068,9.8068,9.8068,9.8068,0,0
8/21/2012,8/22/2012,9.915,9.915,9.915,9.915,0,0
8/20/2012,8/21/2012,10.1,10.1,10.1,10.1,0,0
8/19/2012,8/20/2012,8,8,8,8,0,0
8/18/2012,8/19/2012,11.61,11.61,11.61,11.61,0,0
8/17/2012,8/18/2012,11.5836,11.5836,11.5836,11.5836,0,0
8/16/2012,8/17/2012,13.5,13.5,13.5,13.5,0,0
8/15/2012,8/16/2012,13.25,13.25,13.25,13.25,0,0
8/14/2012,8/15/2012,12.19,12.19,12.19,12.19,0,0
8/13/2012,8/14/2012,12.0375,12.0375,12.0375,12.0375,0,0
8/12/2012,8/13/2012,11.624,11.624,11.624,11.624,0,0
8/11/2012,8/12/2012,11.5102,11.5102,11.5102,11.5102,0,0
8/10/2012,8/11/2012,11.3864,11.3864,11.3864,11.3864,0,0
8/9/2012,8/10/2012,11.0611,11.0611,11.0611,11.0611,0,0
8/8/2012,8/9/2012,11.0553,11.0553,11.0553,11.0553,0,0
8/7/2012,8/8/2012,11.1,11.1,11.1,11.1,0,0
8/6/2012,8/7/2012,10.8552,10.8552,10.8552,10.8552,0,0
